metal,"[220.71533203125, 1528.857421875, 1528.857421875, 904.39453125, 1528.857421875, 2901.59912109375]",88888,5555
metal 2,"[312.2314453125, 419.8974609375, 667.529296875, 807.4951171875, 2901.59912109375, 1528.857421875]",88888,5555
metal 3,"[2901.59912109375, 812.87841796875, 807.4951171875, 1518.0908203125, 807.4951171875, 1518.0908203125]",88888,5555
plastico 1,"[1281.2255859375, 1286.60888671875, 538.330078125, 554.47998046875, 1302.7587890625, 613.6962890625]",88888,5555
plastico 2,"[1367.3583984375, 1372.74169921875, 1388.8916015625, 1458.87451171875, 1458.87451171875, 1383.50830078125]",88888,5555
